,Region,2019,2020,2021,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
0,Amur Oblast,68.66,67.38,66.3,2019,3.52,56.87,6.51,0.99,0.66,0.65,0.49,7.3
1,Amur Oblast,68.66,67.38,66.3,2020,3.58,62.97,6.63,1.04,0.69,0.55,0.61,7.7
2,Amur Oblast,68.66,67.38,66.3,2021,3.69,62.7,7.35,1.1,0.78,0.52,0.79,8.2
3,Astrakhan Oblast,73.86,72.01,69.9,2019,1.88,33.43,3.93,0.56,0.6,0.2,0.29,4.5
4,Astrakhan Oblast,73.86,72.01,69.9,2020,1.9,35.95,4.03,0.61,0.58,0.24,0.37,4.7
5,Astrakhan Oblast,73.86,72.01,69.9,2021,1.89,37.98,4.01,0.66,0.58,0.19,0.41,4.8
6,Belgorod Oblast,74.21,72.37,70.67,2019,1.95,47.63,3.77,0.73,0.35,0.63,0.18,5.0
7,Belgorod Oblast,74.21,72.37,70.67,2020,2.06,46.46,3.63,0.8,0.39,0.88,0.22,4.8
8,Belgorod Oblast,74.21,72.37,70.67,2021,2.12,46.67,3.74,0.93,0.47,0.91,0.25,5.0
9,Chelyabinsk Oblast,72.08,70.29,69.16,2019,3.56,41.96,4.23,1.06,0.64,0.37,0.51,5.5
10,Chelyabinsk Oblast,72.08,70.29,69.16,2020,3.51,44.71,4.35,1.11,0.63,0.48,0.64,5.7
11,Chelyabinsk Oblast,72.08,70.29,69.16,2021,3.44,49.62,4.69,1.18,0.66,0.39,0.72,6.3
12,Irkutsk Oblast,69.55,68.25,66.8,2019,3.37,61.44,5.39,0.96,0.53,0.39,0.52,6.9
13,Irkutsk Oblast,69.55,68.25,66.8,2020,3.6,58.71,5.38,1.0,0.57,0.41,0.61,6.8
14,Irkutsk Oblast,69.55,68.25,66.8,2021,3.67,59.9,5.49,1.07,0.64,0.42,0.71,7.1
15,Ivanovo Oblast,71.84,70.66,69.02,2019,3.6,49.4,5.91,0.87,0.72,0.36,0.75,6.9
16,Ivanovo Oblast,71.84,70.66,69.02,2020,3.77,51.45,5.95,0.92,0.71,0.41,0.87,7.0
17,Ivanovo Oblast,71.84,70.66,69.02,2021,3.98,52.5,5.97,1.02,0.73,0.41,1.05,7.3
18,Kaliningrad Oblast,73.56,72.93,70.99,2019,5.59,40.07,4.52,1.18,0.93,1.05,0.53,6.3
19,Kaliningrad Oblast,73.56,72.93,70.99,2020,6.18,45.88,5.85,1.41,0.94,1.78,0.96,7.5
20,Kaliningrad Oblast,73.56,72.93,70.99,2021,6.41,44.58,5.4,1.65,1.06,1.56,0.9,7.5
21,Kaluga Oblast,72.35,70.38,69.16,2019,4.09,45.79,6.19,1.24,0.98,0.48,0.73,6.9
22,Kaluga Oblast,72.35,70.38,69.16,2020,4.49,47.44,6.41,1.36,1.0,0.54,0.85,7.2
23,Kaluga Oblast,72.35,70.38,69.16,2021,4.32,46.7,6.21,1.45,1.01,0.57,0.93,7.1
24,Kamchatka Krai,70.57,69.27,68.09,2019,4.65,69.67,9.49,2.4,1.59,0.62,0.59,10.0
25,Kamchatka Krai,70.57,69.27,68.09,2020,4.95,70.21,9.82,2.38,1.69,0.79,0.67,10.4
26,Kamchatka Krai,70.57,69.27,68.09,2021,4.85,65.65,9.6,2.27,1.71,0.7,0.7,10.1
27,Khabarovsk Krai,70.05,68.61,67.85,2019,3.57,66.19,8.98,2.0,1.09,0.82,0.68,9.4
28,Khabarovsk Krai,70.05,68.61,67.85,2020,3.84,71.25,8.98,1.99,1.07,0.87,0.77,9.7
29,Khabarovsk Krai,70.05,68.61,67.85,2021,4.02,64.95,8.99,2.01,1.09,0.85,0.91,9.6
30,Kirov Oblast,72.96,71.42,69.73,2019,3.86,61.23,8.17,0.99,0.73,0.31,0.51,8.3
31,Kirov Oblast,72.96,71.42,69.73,2020,3.85,66.26,8.01,1.06,0.72,0.35,0.61,8.5
32,Kirov Oblast,72.96,71.42,69.73,2021,3.91,69.57,7.86,1.13,0.76,0.32,0.71,8.7
33,Kostroma Oblast,72.35,70.92,68.78,2019,3.89,54.36,7.68,0.84,0.77,0.28,0.65,7.9
34,Kostroma Oblast,72.35,70.92,68.78,2020,3.98,55.76,7.67,0.91,0.78,0.32,0.79,7.9
35,Kostroma Oblast,72.35,70.92,68.78,2021,4.12,58.34,7.48,1.01,0.82,0.33,0.91,8.1
36,Krasnodar Krai,73.91,72.24,70.53,2019,3.83,37.92,3.25,1.5,0.81,0.29,0.28,4.8
37,Krasnodar Krai,73.91,72.24,70.53,2020,3.87,42.37,3.36,1.66,0.78,0.36,0.35,5.1
38,Krasnodar Krai,73.91,72.24,70.53,2021,4.24,41.47,3.58,1.89,0.89,0.44,0.44,5.5
39,Krasnoyarsk Krai,71.16,69.82,68.35,2019,3.17,39.52,4.37,1.18,0.74,0.22,0.39,5.2
40,Krasnoyarsk Krai,71.16,69.82,68.35,2020,3.34,41.74,4.39,1.18,0.76,0.24,0.47,5.5
41,Krasnoyarsk Krai,71.16,69.82,68.35,2021,3.57,44.23,4.99,1.28,0.87,0.27,0.62,6.1
42,Kurgan Oblast,71.14,69.94,68.29,2019,2.59,51.65,3.11,0.79,0.43,0.21,0.32,5.3
43,Kurgan Oblast,71.14,69.94,68.29,2020,2.35,55.88,3.38,0.83,0.43,0.25,0.4,5.6
44,Kurgan Oblast,71.14,69.94,68.29,2021,2.43,61.53,3.85,0.85,0.47,0.21,0.47,6.2
45,Kursk Oblast,72.27,70.52,68.56,2019,2.43,35.78,3.63,0.97,0.6,0.35,0.35,4.7
46,Kursk Oblast,72.27,70.52,68.56,2020,2.44,38.13,3.66,1.04,0.62,0.42,0.48,4.9
47,Kursk Oblast,72.27,70.52,68.56,2021,2.37,38.83,3.77,1.11,0.66,0.33,0.51,5.1
48,Leningrad Oblast,73.64,71.53,70.17,2019,6.31,52.32,7.88,1.58,1.6,0.82,0.8,8.8
49,Leningrad Oblast,73.64,71.53,70.17,2020,6.77,53.15,8.04,1.68,1.58,1.0,0.88,9.0
50,Leningrad Oblast,73.64,71.53,70.17,2021,6.59,52.7,7.63,1.8,1.56,1.11,0.97,8.9
51,Lipetsk Oblast,73.34,70.59,68.58,2019,2.68,42.09,4.08,0.87,0.59,0.34,0.45,5.2
52,Lipetsk Oblast,73.34,70.59,68.58,2020,2.8,43.47,4.22,0.94,0.61,0.46,0.54,5.4
53,Lipetsk Oblast,73.34,70.59,68.58,2021,2.74,44.48,4.19,1.0,0.64,0.43,0.6,5.5
54,Moscow,78.36,76.2,74.55,2019,5.45,35.4,4.41,1.9,1.09,0.79,0.45,5.8
55,Moscow,78.36,76.2,74.55,2020,5.44,30.24,4.23,1.86,1.0,0.75,0.49,5.4
56,Moscow,78.36,76.2,74.55,2021,5.4,32.24,4.01,2.11,1.0,1.75,0.52,5.6
57,Nizhny Novgorod Oblast,72.32,70.33,68.93,2019,4.57,43.3,6.64,1.57,0.84,0.57,0.72,7.1
58,Nizhny Novgorod Oblast,72.32,70.33,68.93,2020,4.04,45.81,5.47,1.18,0.82,0.75,0.85,6.7
59,Nizhny Novgorod Oblast,72.32,70.33,68.93,2021,4.19,48.96,5.39,1.33,0.83,0.79,0.97,7.1
60,Novgorod Oblast,70.52,69.59,67.64,2019,4.5,47.85,6.65,1.08,1.09,0.61,0.77,7.6
61,Novgorod Oblast,70.52,69.59,67.64,2020,4.54,50.79,6.51,1.12,1.06,0.62,0.88,7.6
62,Novgorod Oblast,70.52,69.59,67.64,2021,4.43,55.08,6.45,1.21,1.08,0.91,0.96,7.9
63,Novosibirsk Oblast,72.25,70.32,69.19,2019,3.54,54.96,3.75,0.93,0.62,0.86,0.31,5.8
64,Novosibirsk Oblast,72.25,70.32,69.19,2020,3.61,56.97,3.8,0.98,0.63,0.54,0.37,5.9
65,Novosibirsk Oblast,72.25,70.32,69.19,2021,3.72,53.24,3.93,1.1,0.69,0.71,0.46,6.0
66,Omsk Oblast,72.32,70.32,69.02,2019,2.73,32.83,2.97,0.93,0.5,0.25,0.29,4.2
67,Omsk Oblast,72.32,70.32,69.02,2020,2.75,36.59,3.07,0.98,0.5,0.37,0.35,4.4
68,Omsk Oblast,72.32,70.32,69.02,2021,2.77,43.55,3.29,1.04,0.54,0.4,0.41,5.0
69,Orenburg Oblast,72.04,69.73,68.21,2019,2.46,38.08,3.83,0.74,0.42,0.17,0.34,4.8
70,Orenburg Oblast,72.04,69.73,68.21,2020,2.52,43.48,3.85,0.82,0.43,0.2,0.41,5.1
71,Orenburg Oblast,72.04,69.73,68.21,2021,2.45,47.16,4.05,0.88,0.46,0.2,0.48,5.4
72,Oryol Oblast,72.56,70.1,68.97,2019,2.73,38.9,3.92,1.06,0.68,0.4,0.44,5.2
73,Oryol Oblast,72.56,70.1,68.97,2020,2.83,41.5,3.97,1.14,0.69,0.47,0.55,5.4
74,Oryol Oblast,72.56,70.1,68.97,2021,2.79,41.56,4.05,1.25,0.73,0.44,0.63,5.5
