Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),males ,females ,2019,2020,2021,population ,GRDP_per_capita,Density,GRDP,Total consumption for Region,Salary
2022,3.63,64.49,8.04,1.24,0.82,0.49,1.06,8.7,61.75,71.11,68.66,67.38,66.3,777.0,794.644,2.08,617.44,6759.9,67.992
2022,1.96,36.41,4.27,0.71,0.6,0.2,0.5,4.8,65.86,73.87,73.86,72.01,69.9,994.0,802.0,19.31,797.19,4771.2,49.018
2022,2.15,48.07,4.2,1.02,0.56,1.03,0.36,5.3,66.54,74.66,74.21,72.37,70.67,1537.0,859.545,55.34,1321.12,8146.099999999999,46.133
2022,3.52,50.56,4.94,1.25,0.71,0.48,0.91,6.5,64.36,73.79,72.08,70.29,69.16,3431.0,673.545,38.37,2310.93,22301.5,50.034
2022,3.56,52.77,5.86,1.18,0.69,0.43,0.9,7.0,61.9,71.69,69.55,68.25,66.8,2366.0,1001.235,3.01,2368.92,16562.0,62.957
2022,4.05,52.53,6.44,1.13,0.77,0.44,1.54,7.5,64.03,73.86,71.84,70.66,69.02,982.0,395.92,42.29,388.79,7365.0,35.232
2022,6.48,38.33,5.93,1.85,1.14,1.37,0.91,7.2,66.51,75.25,73.56,72.93,70.99,1023.0,715.359,68.32,731.81,7365.6,45.276
2022,4.22,45.82,6.39,1.53,1.03,0.58,1.07,7.1,64.31,74.12,72.35,70.38,69.16,1007.0,647.307,35.99,651.84,7149.7,51.426
2022,4.79,64.93,9.95,2.35,1.63,1.07,0.92,10.2,63.76,72.93,70.57,69.27,68.09,312.0,1228.905,0.62,383.42,3182.3999999999996,127.145
2022,3.86,68.53,8.96,2.05,1.02,0.86,1.24,9.7,62.91,72.94,70.05,68.61,67.85,1300.0,828.826,1.62,1077.47,12609.999999999998,63.105
2022,3.98,71.05,8.17,1.24,0.81,0.38,1.31,9.0,64.8,74.68,72.96,71.42,69.73,1242.0,484.904,9.39,602.25,11178.0,40.221
2022,4.21,60.72,7.96,1.14,0.88,0.41,1.33,8.5,64.07,73.5,72.35,70.92,68.78,625.0,480.12,9.41,300.08,5312.5,38.883
2022,4.26,41.16,3.9,2.06,0.95,0.5,0.56,5.6,66.08,74.9,73.91,72.24,70.53,5686.0,738.801,77.29,4200.82,31841.6,46.861
2022,3.55,44.76,5.36,1.39,0.95,0.31,0.73,6.3,63.56,73.13,71.16,69.82,68.35,2853.0,1164.189,1.2,3321.43,17973.899999999998,70.189
2022,2.57,63.2,4.38,0.89,0.5,0.27,0.64,6.5,63.29,73.48,71.14,69.94,68.29,812.0,442.702,10.53,359.47,5278.0,39.9
2022,2.39,40.99,4.26,1.17,0.75,0.39,0.68,5.5,64.09,72.94,72.27,70.52,68.56,1090.0,620.432,35.38,676.27,5995.0,45.417
2022,6.65,55.04,8.14,2.01,1.63,1.16,1.23,9.3,65.43,74.94,73.64,71.53,70.17,1902.0,822.794,24.25,1564.95,17688.600000000002,56.724
2022,2.73,43.19,4.5,1.08,0.7,0.4,0.76,5.6,63.89,73.3,73.34,70.59,68.58,1121.0,700.249,46.43,784.98,6277.599999999999,44.152
2022,5.5,30.69,4.11,2.31,1.04,0.81,0.63,5.6,71.0,77.94,78.36,76.2,74.55,12645.0,2182.863,5136.55,27602.3,70812.0,113.671
2022,4.27,49.44,5.78,1.47,0.9,0.84,1.2,7.3,63.81,73.97,72.32,70.33,68.93,3160.0,739.125,39.96,2335.64,23068.0,44.03
